,Open,High,Low,Close,Volume,compound,negative,neutral,positive
2005-01-20,1.24375,1.2726790000000001,1.240536,1.258214,914922400.0,-0.9655,0.099,0.824,0.077
2005-01-21,1.273393,1.278571,1.25,1.25875,911332800.0,0.899,0.099,0.792,0.109
2005-01-24,1.2675,1.281786,1.2598209999999999,1.263571,841629600.0,0.873,0.073,0.849,0.078
2005-01-25,1.274464,1.300714,1.266786,1.286607,969231200.0,-0.9849,0.099,0.841,0.061
2005-01-26,1.2975,1.299107,1.271786,1.2901790000000002,739496800.0,0.8242,0.09,0.796,0.114
2005-01-27,1.288571,1.302143,1.277679,1.297143,496227200.0,0.8729,0.113,0.76,0.127
2005-01-28,1.296786,1.3210709999999999,1.2935709999999998,1.3210709999999999,801612000.0,-0.9376,0.102,0.809,0.089
2005-01-31,1.3317860000000001,1.390893,1.3305360000000002,1.373214,1681097600.0,-0.9805,0.114,0.812,0.074
2005-02-01,1.375893,1.38875,1.3675,1.384464,678395200.0,-0.9946,0.135,0.787,0.078
2005-02-02,1.391964,1.426964,1.3873209999999998,1.421964,1020062400.0,-0.6823,0.083,0.838,0.08
2005-02-03,1.4125,1.418393,1.380893,1.389464,731651200.0,-0.9898,0.086,0.867,0.048
2005-02-04,1.390536,1.409464,1.384464,1.407857,563556000.0,-0.4945,0.085,0.826,0.09
2005-02-07,1.409464,1.416964,1.3839290000000002,1.409643,524456800.0,-0.8525,0.113,0.784,0.103
2005-02-08,1.411964,1.453214,1.4069639999999999,1.4446430000000001,890019200.0,-0.9756,0.119,0.806,0.075
2005-02-09,1.447143,1.464107,1.394643,1.4060709999999998,1191456000.0,-0.949,0.079,0.863,0.058
2005-02-10,1.405714,1.415714,1.368929,1.399286,1093019200.0,0.6669,0.098,0.792,0.11
2005-02-11,1.4260709999999999,1.46,1.409643,1.450179,1201054400.0,-0.9413,0.099,0.822,0.079
2005-02-14,1.4773209999999999,1.5141069999999999,1.465179,1.51125,1271463200.0,0.9524,0.086,0.805,0.11
2005-02-15,1.5475,1.590714,1.535714,1.57875,2312217600.0,-0.9309,0.1,0.815,0.085
2005-02-16,1.574107,1.610714,1.559821,1.609464,1639243200.0,-0.9419,0.069,0.882,0.048
2005-02-17,1.61875,1.622857,1.561607,1.568036,1518473600.0,-0.842,0.078,0.849,0.072
2005-02-18,1.566786,1.568929,1.5401790000000002,1.5501790000000002,1163254400.0,-0.8493,0.085,0.843,0.072
2005-02-22,1.5410709999999999,1.576786,1.523036,1.523036,1219293600.0,0.9083,0.059,0.856,0.085
2005-02-23,1.548571,1.579464,1.527679,1.575536,1345181600.0,-0.9874,0.133,0.776,0.091
2005-02-24,1.58,1.5948209999999998,1.5666069999999999,1.588036,1519028000.0,-0.9932,0.116,0.798,0.085
2005-02-25,1.600357,1.605536,1.5748209999999998,1.589107,915510400.0,0.972,0.073,0.821,0.106
2005-02-28,1.5957139999999999,1.612143,1.57,1.602143,651610400.0,0.9959,0.07,0.799,0.131
2005-03-01,1.606786,1.611071,1.577143,1.589286,468188000.0,0.9727,0.094,0.792,0.115
2005-03-02,1.580357,1.603214,1.574286,1.5757139999999998,458161200.0,-0.9873,0.115,0.815,0.07
2005-03-03,1.584643,1.586071,1.472143,1.4925,1411653600.0,0.9884,0.071,0.817,0.111
2005-03-04,1.5271430000000001,1.536071,1.494643,1.528929,756618800.0,-0.9583,0.097,0.825,0.078
2005-03-07,1.528571,1.544643,1.5125,1.526786,450632000.0,-0.5862,0.077,0.839,0.085
2005-03-08,1.496429,1.505714,1.432143,1.4475,1021451200.0,0.687,0.077,0.831,0.092
2005-03-09,1.415714,1.4385709999999998,1.386786,1.405357,1322465200.0,-0.958,0.097,0.823,0.08
2005-03-10,1.411786,1.437857,1.3964290000000001,1.4225,777109200.0,0.7736,0.087,0.819,0.094
2005-03-11,1.4360709999999999,1.449643,1.421429,1.4382139999999999,632830800.0,0.9701,0.068,0.847,0.086
2005-03-14,1.447143,1.4567860000000001,1.411429,1.44,605385200.0,-0.9437,0.066,0.875,0.059
2005-03-15,1.451429,1.469286,1.4375,1.462857,508608800.0,0.9441,0.081,0.819,0.1
2005-03-16,1.471786,1.5110709999999998,1.4564290000000002,1.4707139999999999,697813200.0,-0.9671,0.098,0.833,0.069
2005-03-17,1.483214,1.5314290000000002,1.475714,1.5089290000000002,801920000.0,-0.8466,0.077,0.855,0.068
2005-03-18,1.5475,1.5514290000000002,1.517857,1.534286,940150400.0,-0.9932,0.123,0.799,0.078
2005-03-21,1.546071,1.570357,1.530714,1.560714,541128000.0,0.9758,0.097,0.763,0.14
2005-03-22,1.5610709999999999,1.57,1.524286,1.529643,551415200.0,-0.9937,0.131,0.805,0.065
2005-03-23,1.516071,1.55,1.5007139999999999,1.519643,609823200.0,-0.9112,0.086,0.851,0.064
2005-03-24,1.5325,1.535714,1.517857,1.517857,352704800.0,0.9838,0.053,0.848,0.1
2005-03-28,1.526786,1.534286,1.516786,1.5189290000000002,275410800.0,-0.7828,0.106,0.81,0.084
2005-03-29,1.52,1.529643,1.482143,1.4910709999999998,461356000.0,-0.9849,0.108,0.831,0.061
2005-03-30,1.5025,1.528571,1.493571,1.528571,394959600.0,0.9905,0.086,0.763,0.151
2005-03-31,1.516071,1.518571,1.485357,1.488214,636134800.0,-0.9091,0.099,0.827,0.073
2005-04-01,1.503214,1.506429,1.4489290000000001,1.460357,641284000.0,-0.9982,0.179,0.752,0.068
2005-04-04,1.463929,1.475357,1.434286,1.4675,580014400.0,-0.9676,0.129,0.781,0.09
2005-04-05,1.472143,1.5085709999999999,1.4675,1.496071,556239600.0,-0.9794,0.164,0.749,0.088
2005-04-06,1.514286,1.528929,1.505357,1.511786,414825600.0,-0.9367,0.092,0.839,0.068
